"date","user","run","tube","lineage","replicate","rank","length","time","ramp_rate","ctmax"
2023-01-25,"RAB",6,1,"HA",2,2,0.706,65.6666666666667,0.17674825174824,35.5833333333333
2023-01-25,"RAB",6,2,"AH",1,10,0.791,46.2833333333333,0.22080419580419,31.8655303030303
2023-01-25,"RAB",6,3,"HH",3,5,0.79,62.3833333333333,0.182342657342647,34.9895833333333
2023-01-25,"RAB",6,4,"AH",1,9,0.72,54.6666666666667,0.199475524475518,33.5435606060606
2023-01-25,"RAB",6,5,"HH",3,4,0.755,64.55,0.17360139860139,35.3791666666667
2023-01-25,"RAB",6,6,"HA",2,3,0.732,64.9666666666667,0.17360139860139,35.4479166666667
2023-01-25,"RAB",6,7,"AA",2,7,0.76,60.75,0.176573426573417,34.671875
2023-01-25,"RAB",6,8,"HH",3,8,0.724,59.8666666666667,0.185314685314678,34.5069444444444
2023-01-25,"RAB",6,9,"HA",2,1,0.667,66.2166666666667,0.165384615384606,35.7083333333333
2023-01-25,"RAB",6,10,"AA",2,6,0.775,61.25,0.18006993006992,34.7619047619048
