"date","user","run","tube","lineage","replicate","rank","length","time","ramp_rate","ctmax"
2023-01-27,"RAB",7,1,"HH",1,3,0.808,67.9833333333333,0.182692307692305,36.0069444444444
2023-01-27,"RAB",7,2,"HH",1,6,0.695,63.4,0.186538461538458,35.1101190476191
2023-01-27,"RAB",7,3,"HH",1,1,0.724,69.55,0.188321678321679,36.2916666666667
2023-01-27,"RAB",7,4,"AH",1,9,0.896,55.5666666666667,0.213286713286696,33.5397727272727
2023-01-27,"RAB",7,5,"HA",4,5,0.764,65.4666666666667,0.187237762237758,35.5173611111111
2023-01-27,"RAB",7,6,"AH",1,10,0.839,49.85,0.214510489510476,32.3863636363636
2023-01-27,"RAB",7,7,"HH",1,4,0.719,67.0666666666667,0.182692307692305,35.8208333333333
2023-01-27,"RAB",7,8,"AH",1,8,0.863,57.2833333333333,0.206468531468517,33.9
2023-01-27,"RAB",7,9,"AA",1,2,0.769,68.8,0.191083916083913,36.1458333333333
2023-01-27,"RAB",7,10,"HH",2,7,0.768,61.8833333333333,0.196503496503493,34.8151041666667
