"date","user","run","tube","lineage","replicate","rank","length","time","ramp_rate","ctmax"
2022-11-28,"MCS",1,1,"HH",3,1,0.8,63.1166666666667,0.185139860139856,35.9166666666667
2022-11-28,"MCS",1,2,"AH",3,7,0.738,56.0166666666667,0.202972027972026,34.4583333333333
2022-11-28,"MCS",1,3,"HA",3,4,0.771,61.8,0.192832167832162,35.5885416666667
2022-11-28,"MCS",1,4,"HH",3,2,0.844,62.5,0.19510489510489,35.7604166666667
2022-11-28,"MCS",1,5,"AA",3,9,0.778,51.1166666666667,0.194230769230753,33.4875
2022-11-28,"MCS",1,6,"HH",3,3,0.767,62.05,0.19510489510489,35.6319444444444
2022-11-28,"MCS",1,7,"AA",3,6,0.774,56.8166666666667,0.202972027972026,34.6220238095238
2022-11-28,"MCS",1,8,"AA",3,10,0.828,50.4,0.199825174825159,33.3385416666667
2022-11-28,"MCS",1,9,"HA",3,5,0.84,59.25,0.19300699300699,35.0972222222222
2022-11-28,"MCS",1,10,"AA",3,8,0.786,54.5666666666667,0.20367132867132,34.1708333333333
