"date","user","run","tube","lineage","replicate","rank","length","time","ramp_rate","ctmax"
2022-12-13,"RAB",4,1,"AA",1,6,0.737,59.3166666666667,0.205244755244742,35.2380952380952
2022-12-13,"RAB",4,2,"AH",3,9,0.747,52.6833333333333,0.212762237762227,33.9128787878788
2022-12-13,"RAB",4,3,"HA",4,4,0.713,63.15,0.191258741258732,35.9458333333333
2022-12-13,"RAB",4,4,"HH",4,1,0.684,70.9666666666667,0.165734265734258,37.2708333333333
2022-12-13,"RAB",4,5,"HA",4,2,0.692,70.8666666666667,0.165734265734258,37.2604166666667
2022-12-13,"RAB",4,6,"HA",4,5,0.742,61.5666666666667,0.203321678321668,35.6666666666667
2022-12-13,"RAB",4,7,"AA",1,10,0.745,38.6333333333333,0.228671328671316,30.9253472222222
2022-12-13,"RAB",4,8,"AA",1,7,0.773,57.6,0.206993006992995,34.8932291666667
2022-12-13,"RAB",4,9,"HA",4,3,0.612,66.8833333333333,0.174475524475518,36.5763888888889
2022-12-13,"RAB",4,10,"AA",1,8,0.805,54.7,0.218531468531459,34.3356481481481
